name,category,price,image_url
Jugo En Polvo Arcor Banana/naranja 18 X 15 Gr,almacen,500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/jugo-en-polvo-arcor-banananaranja-18-x-15-gr.webp
Jugo En Polvo Arcor Durazno 18 X 15 Gr,almacen,500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/jugo-en-polvo-arcor-durazno-18-x-15-gr.webp
Jugo En Polvo Arcor Limonada 18 X 15gr,almacen,500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/jugo-en-polvo-arcor-limonada-18-x-15gr.webp
Jugo En Polvo Arcor Manzan,almacen,500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/jugo-en-polvo-arcor-manzan.webp
Jugo En Polvo Arcor Multifruta 18 X 15 Gr,almacen,500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/jugo-en-polvo-arcor-multifruta-18-x-15-gr.webp
Jugo En Polvo Arcor Naran 18 X 15 Gr,almacen,500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/jugo-en-polvo-arcor-naran-18-x-15-gr.webp
Jugo En Polvo Arcor Naranja Dulce 18 X 15 Gr,almacen,500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/jugo-en-polvo-arcor-naranja-dulce-18-x-15-gr.webp
Jugo En Polvo Arcor Naranja/durazno 18 X 15 Gr,almacen,500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/jugo-en-polvo-arcor-naranjadurazno-18-x-15-gr.webp
Jugo En Polvo Arcor Naranja/mango 18x15gr,almacen,500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/jugo-en-polvo-arcor-naranjamango-18x15gr.webp
Jugo En Polvo Arcor Pomelo Rosado 18x15 Gr,almacen,500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/jugo-en-polvo-arcor-pomelo-rosado-18x15-gr.webp
Lentejas Arcor X 300gr,almacen,1400,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/lentejas-arcor-x-300gr.webp
Leña,almacen,2500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/lena.webp
Mayonesa Bc X 250 Cc,almacen,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/mayonesa-bc-x-250-cc.webp
Merm Durazno Arcor X454gr,almacen,2800,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/merm-durazno-arcor-x454gr.webp
Merm Light Arcor Durazno +f X390 Gr,almacen,3000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/merm-light-arcor-durazno-f-x390-gr.webp
Merm Light Arcor Naranja +f X390gr,almacen,3000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/merm-light-arcor-naranja-f-x390gr.webp
Mermelada Naranja Arcor X454 Gr,almacen,2800,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/mermelada-naranja-arcor-x454-gr.webp
Naipe Cartas Españolas,almacen,2500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/naipe-cartas-espanolas.webp
Naipes Casino,almacen,3500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/naipes-casino.webp
Ñoquis Al Uso Nostro,almacen,4100,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/noquis-al-uso-nostro.webp
Pan Arabe,almacen,3900,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/pan-arabe.webp
Pebete Jamon Crudo,almacen,3200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/pebete-jamon-crudo.webp
Pebeton,almacen,2200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/pebeton.webp
Pila Enegizer Aaa,almacen,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/pila-enegizer-aaa.webp
Pila Energizer Aa,almacen,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/pila-energizer-aa.webp
